ticker,quarter,date,rev_est,rev_est_unit,rev_act,rev_act_unit,rev_pct,rev_status,eps_est,eps_act,eps_pct,eps_status
AAPL,Q4 2025,10/30/2025,101.83,B,102.47,B,0.62,Beat,1.75,1.85,5.71,Beat
AAPL,Q3 2025,07/31/2025,88.94,B,94.04,B,5.73,Beat,1.42,1.57,10.56,Beat
AAPL,Q2 2025,05/01/2025,94.53,B,95.36,B,0.88,Beat,1.63,1.65,1.23,Beat
AAPL,Q1 2025,01/30/2025,124.03,B,124.3,B,0.22,Beat,2.34,2.40,2.56,Beat
AAPL,Q4 2024,10/31/2024,94.56,B,94.93,B,0.39,Beat,1.60,1.64,2.50,Beat
AAPL,Q3 2024,08/01/2024,84.36,B,85.78,B,1.68,Beat,1.34,1.40,4.48,Beat
AAPL,Q2 2024,05/02/2024,90.01,B,90.75,B,0.83,Beat,1.50,1.53,2.00,Beat
AAPL,Q1 2024,02/01/2024,117.91,B,119.58,B,1.41,Beat,2.10,2.18,3.81,Beat
AAPL,Q4 2023,11/02/2023,84.18,B,89.5,B,6.32,Beat,1.31,1.46,11.45,Beat
AAPL,Q3 2023,08/03/2023,81.36,B,81.8,B,0.53,Beat,1.19,1.26,5.88,Beat
AAPL,Q2 2023,05/04/2023,92.96,B,94.84,B,2.02,Beat,1.43,1.52,6.29,Beat
AAPL,Q1 2023,02/02/2023,121.1,B,117.15,B,-3.26,Miss,1.94,1.88,-3.09,Miss
AAPL,Q4 2022,10/27/2022,88.74,B,90.15,B,1.58,Beat,1.26,1.29,2.38,Beat
AAPL,Q3 2022,07/28/2022,82.81,B,82.96,B,0.18,Beat,1.16,1.20,3.45,Beat
AAPL,Q2 2022,04/28/2022,93.89,B,97.28,B,3.61,Beat,1.43,1.52,6.29,Beat
AAPL,Q1 2022,01/27/2022,118.28,B,123.95,B,4.79,Beat,1.88,2.10,11.70,Beat
AAPL,Q4 2021,10/28/2021,84.85,B,83.36,B,-1.76,Miss,1.24,1.24,,Beat
