ticker,quarter,date,rev_est,rev_est_unit,rev_act,rev_act_unit,rev_pct,rev_status,eps_est,eps_act,eps_pct,eps_status
MSFT,Q1 2026,10/29/2025,75.22,B,77.67,B,3.26,Beat,3.66,4.13,12.84,Beat
MSFT,Q4 2025,07/30/2025,73.77,B,76.44,B,3.62,Beat,3.37,3.65,8.31,Beat
MSFT,Q3 2025,04/30/2025,68.42,B,70.07,B,2.41,Beat,3.22,3.46,7.45,Beat
MSFT,Q2 2025,01/29/2025,68.81,B,69.63,B,1.19,Beat,3.10,3.23,4.19,Beat
MSFT,Q1 2025,10/30/2024,64.51,B,65.59,B,1.67,Beat,3.10,3.30,6.45,Beat
MSFT,Q4 2024,07/30/2024,64.36,B,64.73,B,0.57,Beat,2.93,2.95,0.68,Beat
MSFT,Q3 2024,04/25/2024,60.8,B,61.86,B,1.74,Beat,2.82,2.94,4.26,Beat
MSFT,Q2 2024,01/30/2024,61.13,B,62.02,B,1.46,Beat,2.78,2.93,5.40,Beat
MSFT,Q1 2024,10/24/2023,51.4,B,56.52,B,9.96,Beat,2.50,2.99,19.60,Beat
MSFT,Q4 2023,07/25/2023,55.47,B,56.19,B,1.30,Beat,2.55,2.69,5.49,Beat
MSFT,Q3 2023,04/25/2023,51.02,B,52.86,B,3.60,Beat,2.23,2.45,9.87,Beat
MSFT,Q2 2023,01/24/2023,52.97,B,52.75,B,-0.42,Miss,2.29,2.32,1.31,Beat
MSFT,Q1 2023,10/25/2022,49.84,B,50.12,B,0.57,Beat,2.32,2.35,1.29,Beat
MSFT,Q4 2022,07/26/2022,52.47,B,51.87,B,-1.15,Miss,2.30,2.23,-3.04,Miss
MSFT,Q3 2022,04/26/2022,49.03,B,49.36,B,0.67,Beat,2.18,2.22,1.83,Beat
MSFT,Q2 2022,01/25/2022,50.88,B,51.73,B,1.67,Beat,2.31,2.48,7.36,Beat
MSFT,Q1 2022,10/26/2021,43.97,B,45.32,B,3.06,Beat,2.07,2.27,9.66,Beat
