ticker,quarter,date,rev_est,rev_est_unit,rev_act,rev_act_unit,rev_pct,rev_status,eps_est,eps_act,eps_pct,eps_status
TGT,Q2 2025,08/20/2025,24.91,B,25.21,B,1.22,Beat,2.05,2.05,,Beat
TGT,Q1 2025,05/21/2025,24.35,B,23.85,B,-2.07,Miss,1.65,1.30,-21.21,Miss
TGT,Q4 2024,03/04/2025,30.84,B,30.92,B,0.24,Beat,2.26,2.41,6.64,Beat
TGT,Q3 2024,11/20/2024,25.9,B,25.67,B,-0.90,Miss,2.30,1.85,-19.57,Miss
TGT,Q2 2024,08/21/2024,25.22,B,25.45,B,0.92,Beat,2.19,2.57,17.35,Beat
TGT,Q1 2024,05/22/2024,24.52,B,24.53,B,0.04,Beat,2.05,2.03,-0.98,Miss
TGT,Q4 2023,03/05/2024,31.83,B,31.92,B,0.28,Beat,2.41,2.98,23.65,Beat
TGT,Q3 2023,11/15/2023,25.31,B,25.4,B,0.35,Beat,1.48,2.10,41.89,Beat
TGT,Q2 2023,08/16/2023,25.18,B,24.77,B,-1.62,Miss,1.39,1.80,29.50,Beat
TGT,Q1 2023,05/17/2023,25.29,B,25.32,B,0.13,Beat,1.76,2.05,16.48,Beat
TGT,Q4 2022,02/28/2023,30.72,B,31.4,B,2.20,Beat,1.40,1.89,35.00,Beat
TGT,Q3 2022,11/16/2022,26.38,B,26.52,B,0.52,Beat,2.13,1.54,-27.70,Miss
TGT,Q2 2022,08/17/2022,26.09,B,26.04,B,-0.20,Miss,0.73,0.39,-46.58,Miss
TGT,Q1 2022,05/18/2022,24.37,B,25.17,B,3.28,Beat,3.07,2.19,-28.66,Miss
TGT,Q4 2021,03/01/2022,31.41,B,31,B,-1.32,Miss,2.86,3.19,11.54,Beat
TGT,Q3 2021,11/17/2021,24.78,B,25.65,B,3.52,Beat,2.83,3.03,7.07,Beat
TGT,Q2 2021,08/18/2021,25.08,B,25.16,B,0.32,Beat,3.49,3.64,4.30,Beat
